ID or #		Start	End	Type	Contig
==================================================
MN908947.3:1..29903		1	29903	partial	ERR5556343:55-3507,ERR5556343:3796-25043,ERR5556343:25293-29824
id-MN908947.3:1..265		1	265	partial	ERR5556343:55-265
gene-orf1ab		266	21555	partial	ERR5556343:266-3507,ERR5556343:3796-21555
cds-QHD43415.1		266	13468	partial	ERR5556343:266-3507,ERR5556343:3796-13468
cds-QHD43415.1		13468	21555	complete	ERR5556343:13468-21555
gene-S		21563	25384	partial	ERR5556343:21563-25043
cds-QHD43416.1		21563	25384	partial	ERR5556343:21563-25043
gene-ORF3a		25393	26220	complete	ERR5556343:25384-26211
cds-QHD43417.1		25393	26220	complete	ERR5556343:25384-26211
gene-E		26245	26472	complete	ERR5556343:26236-26463
cds-QHD43418.1		26245	26472	complete	ERR5556343:26236-26463
gene-M		26523	27191	complete	ERR5556343:26514-27182
cds-QHD43419.1		26523	27191	complete	ERR5556343:26514-27182
gene-ORF6		27202	27387	complete	ERR5556343:27193-27378
cds-QHD43420.1		27202	27387	complete	ERR5556343:27193-27378
gene-ORF7a		27394	27759	complete	ERR5556343:27385-27750
cds-QHD43421.1		27394	27759	complete	ERR5556343:27385-27750
gene-ORF8		27894	28259	complete	ERR5556343:27885-28250
cds-QHD43422.1		27894	28259	complete	ERR5556343:27885-28250
gene-N		28274	29533	complete	ERR5556343:28265-29524
cds-QHD43423.2		28274	29533	complete	ERR5556343:28265-29524
gene-ORF10		29558	29674	complete	ERR5556343:29549-29665
cds-QHI42199.1		29558	29674	complete	ERR5556343:29549-29665
id-MN908947.3:29675..29903		29675	29903	partial	ERR5556343:29666-29824
