chrom	start	end	region	coverage	sample
MN908947.3	30	410	nCoV-2019_1	909	SRR13500958
MN908947.3	320	726	nCoV-2019_2	254	SRR13500958
MN908947.3	642	1028	nCoV-2019_3	1168	SRR13500958
MN908947.3	943	1337	nCoV-2019_4	1104	SRR13500958
MN908947.3	1242	1651	nCoV-2019_5	793	SRR13500958
MN908947.3	1573	1964	nCoV-2019_6	758	SRR13500958
MN908947.3	1868	2269	nCoV-2019_7	607	SRR13500958
MN908947.3	2181	2592	nCoV-2019_8	398	SRR13500958
MN908947.3	2504	2904	nCoV-2019_9	233	SRR13500958
MN908947.3	2826	3210	nCoV-2019_10	364	SRR13500958
MN908947.3	3144	3531	nCoV-2019_11	503	SRR13500958
MN908947.3	3460	3853	nCoV-2019_12	1377	SRR13500958
MN908947.3	3771	4164	nCoV-2019_13	538	SRR13500958
MN908947.3	4044	4450	nCoV-2019_14	1050	SRR13500958
MN908947.3	4294	4696	nCoV-2019_15	875	SRR13500958
MN908947.3	4636	5017	nCoV-2019_16	533	SRR13500958
MN908947.3	4939	5321	nCoV-2019_17	921	SRR13500958
MN908947.3	5230	5644	nCoV-2019_18	66	SRR13500958
MN908947.3	5563	5957	nCoV-2019_19	1066	SRR13500958
MN908947.3	5867	6272	nCoV-2019_20	100	SRR13500958
MN908947.3	6167	6550	nCoV-2019_21	219	SRR13500958
MN908947.3	6466	6873	nCoV-2019_22	883	SRR13500958
MN908947.3	6718	7117	nCoV-2019_23	1640	SRR13500958
MN908947.3	7035	7415	nCoV-2019_24	143	SRR13500958
MN908947.3	7305	7694	nCoV-2019_25	667	SRR13500958
MN908947.3	7626	8019	nCoV-2019_26	647	SRR13500958
MN908947.3	7943	8341	nCoV-2019_27	936	SRR13500958
MN908947.3	8249	8661	nCoV-2019_28	846	SRR13500958
MN908947.3	8595	8983	nCoV-2019_29	40	SRR13500958
MN908947.3	8888	9271	nCoV-2019_30	121	SRR13500958
MN908947.3	9204	9585	nCoV-2019_31	414	SRR13500958
MN908947.3	9477	9858	nCoV-2019_32	126	SRR13500958
MN908947.3	9784	10171	nCoV-2019_33	234	SRR13500958
MN908947.3	10076	10459	nCoV-2019_34	1091	SRR13500958
MN908947.3	10362	10763	nCoV-2019_35	358	SRR13500958
MN908947.3	10666	11074	nCoV-2019_36	93	SRR13500958
MN908947.3	10999	11394	nCoV-2019_37	792	SRR13500958
MN908947.3	11306	11693	nCoV-2019_38	1471	SRR13500958
MN908947.3	11555	11949	nCoV-2019_39	750	SRR13500958
MN908947.3	11863	12256	nCoV-2019_40	1222	SRR13500958
MN908947.3	12110	12490	nCoV-2019_41	1162	SRR13500958
MN908947.3	12417	12802	nCoV-2019_42	360	SRR13500958
MN908947.3	12710	13096	nCoV-2019_43	684	SRR13500958
MN908947.3	13005	13400	nCoV-2019_44	702	SRR13500958
MN908947.3	13307	13699	nCoV-2019_45	64	SRR13500958
MN908947.3	13599	13984	nCoV-2019_46	922	SRR13500958
MN908947.3	13918	14299	nCoV-2019_47	1170	SRR13500958
MN908947.3	14207	14601	nCoV-2019_48	781	SRR13500958
MN908947.3	14545	14926	nCoV-2019_49	782	SRR13500958
MN908947.3	14865	15246	nCoV-2019_50	706	SRR13500958
MN908947.3	15171	15560	nCoV-2019_51	1137	SRR13500958
MN908947.3	15481	15886	nCoV-2019_52	1242	SRR13500958
MN908947.3	15827	16209	nCoV-2019_53	1133	SRR13500958
MN908947.3	16118	16510	nCoV-2019_54	134	SRR13500958
MN908947.3	16416	16833	nCoV-2019_55	314	SRR13500958
MN908947.3	16748	17152	nCoV-2019_56	560	SRR13500958
MN908947.3	17065	17452	nCoV-2019_57	1375	SRR13500958
MN908947.3	17381	17761	nCoV-2019_58	955	SRR13500958
MN908947.3	17674	18062	nCoV-2019_59	565	SRR13500958
MN908947.3	17966	18348	nCoV-2019_60	840	SRR13500958
MN908947.3	18253	18672	nCoV-2019_61	538	SRR13500958
MN908947.3	18596	18979	nCoV-2019_62	543	SRR13500958
